분야,연도,순위,키워드,빈도,기사수,출현율(%)
구조활동,2026,1,초등생,464,1167,39.8
구조활동,2026,2,주왕산,451,1167,38.6
구조활동,2026,3,실종,420,1167,36.0
구조활동,2026,4,숨진,142,1167,12.2
구조활동,2026,5,수색,141,1167,12.1
구조활동,2026,6,발견,137,1167,11.7
구조활동,2026,7,청송,110,1167,9.4
구조활동,2026,8,사망,94,1167,8.1
구조활동,2026,9,주왕산서,85,1167,7.3
구조활동,2026,10,이틀째,80,1167,6.9
구조활동,2026,11,헬기,72,1167,6.2
구조활동,2026,12,구조,70,1167,6.0
구조활동,2026,13,만에,68,1167,5.8
구조활동,2026,14,설악산,67,1167,5.7
구조활동,2026,15,손상,66,1167,5.7
구조활동,2026,16,추락,61,1167,5.2
구조활동,2026,17,부검,57,1167,4.9
구조활동,2026,18,의한,56,1167,4.8
구조활동,2026,19,사흘째,56,1167,4.8
구조활동,2026,20,1차,54,1167,4.6
구조활동,2025,1,설악산,42,740,5.7
구조활동,2025,2,60대,41,740,5.5
구조활동,2025,3,합동,38,740,5.1
구조활동,2025,4,산악사고,38,740,5.1
구조활동,2025,5,대비,35,740,4.7
구조활동,2025,6,한라산,34,740,4.6
구조활동,2025,7,강원,33,740,4.5
구조활동,2025,8,사고,30,740,4.1
구조활동,2025,9,산불,28,740,3.8
구조활동,2025,10,항공기,28,740,3.8
구조활동,2025,11,가을철,26,740,3.5
구조활동,2025,12,결항,25,740,3.4
구조활동,2025,13,여객선,25,740,3.4
구조활동,2025,14,제주,24,740,3.2
구조활동,2025,15,구조,24,740,3.2
구조활동,2025,16,CJ대한통운,24,740,3.2
구조활동,2025,17,속출,23,740,3.1
구조활동,2025,18,환경부,20,740,2.7
구조활동,2025,19,수상,19,740,2.6
구조활동,2025,20,패키지,19,740,2.6
구조활동,2024,1,등산객,37,462,8.0
구조활동,2024,2,산악사고,35,462,7.6
구조활동,2024,3,구조,28,462,6.1
구조활동,2024,4,대비,25,462,5.4
구조활동,2024,5,지리산,19,462,4.1
구조활동,2024,6,광주,19,462,4.1
구조활동,2024,7,합동,19,462,4.1
구조활동,2024,8,40대,17,462,3.7
구조활동,2024,9,합동훈련,15,462,3.2
구조활동,2024,10,가을철,14,462,3.0
구조활동,2024,11,특수산악구조팀,14,462,3.0
구조활동,2024,12,을사년,13,462,2.8
구조활동,2024,13,산악구조,13,462,2.8
구조활동,2024,14,혁명적,13,462,2.8
구조활동,2024,15,여수향일암일출제,12,462,2.6
구조활동,2024,16,제주,12,462,2.6
구조활동,2024,17,잇따라,12,462,2.6
구조활동,2024,18,유관기관,12,462,2.6
구조활동,2024,19,봄철,12,462,2.6
구조활동,2024,20,지원,12,462,2.6
구조활동,2023,1,한라산,50,537,9.3
구조활동,2023,2,산악사고,36,537,6.7
구조활동,2023,3,합동,34,537,6.3
구조활동,2023,4,대비,33,537,6.1
구조활동,2023,5,저체온증,31,537,5.8
구조활동,2023,6,구조,26,537,4.8
구조활동,2023,7,사망,25,537,4.7
구조활동,2023,8,훈련,23,537,4.3
구조활동,2023,9,북한산,22,537,4.1
구조활동,2023,10,거제,21,537,3.9
구조활동,2023,11,거북선,18,537,3.4
구조활동,2023,12,4명,17,537,3.2
구조활동,2023,13,제주,16,537,3.0
구조활동,2023,14,추락,16,537,3.0
구조활동,2023,15,수학여행,16,537,3.0
구조활동,2023,16,광주,15,537,2.8
구조활동,2023,17,50대,15,537,2.8
구조활동,2023,18,가을철,15,537,2.8
구조활동,2023,19,산악구조,14,537,2.6
구조활동,2023,20,확대,14,537,2.6
구조활동,2022,1,합동,19,339,5.6
구조활동,2022,2,전북,17,339,5.0
구조활동,2022,3,산악사고,16,339,4.7
구조활동,2022,4,7곳,15,339,4.4
구조활동,2022,5,한국관광,15,339,4.4
구조활동,2022,6,해수욕장,15,339,4.4
구조활동,2022,7,개장,15,339,4.4
구조활동,2022,8,제주,13,339,3.8
구조활동,2022,9,선정,12,339,3.5
구조활동,2022,10,유관기관,11,339,3.2
구조활동,2022,11,삼천포,11,339,3.2
구조활동,2022,12,e편한세상,11,339,3.2
구조활동,2022,13,7월,11,339,3.2
구조활동,2022,14,여수향일암일출제,10,339,2.9
구조활동,2022,15,100선,10,339,2.9
구조활동,2022,16,산악구조훈련,10,339,2.9
구조활동,2022,17,가을철,10,339,2.9
구조활동,2022,18,대비,10,339,2.9
구조활동,2022,19,힌남노,10,339,2.9
구조활동,2022,20,9일,10,339,2.9
구조활동,2021,1,지리산,192,521,36.9
구조활동,2021,2,전지현,90,521,17.3
구조활동,2021,3,주지훈,60,521,11.5
구조활동,2021,4,김은희,52,521,10.0
구조활동,2021,5,작가,39,521,7.5
구조활동,2021,6,구조,33,521,6.3
구조활동,2021,7,전지현X주지훈,33,521,6.3
구조활동,2021,8,산악사고,27,521,5.2
구조활동,2021,9,합동,27,521,5.2
구조활동,2021,10,공개,26,521,5.0
구조활동,2021,11,대비,22,521,4.2
구조활동,2021,12,성동일,21,521,4.0
구조활동,2021,13,조난자,18,521,3.5
구조활동,2021,14,오정세,17,521,3.3
구조활동,2021,15,산악구조훈련,15,521,2.9
구조활동,2021,16,레인저,15,521,2.9
구조활동,2021,17,좋은,15,521,2.9
구조활동,2021,18,원군,14,521,2.7
구조활동,2021,19,가을철,13,521,2.5
구조활동,2021,20,드라마,12,521,2.3
구조활동,2020,1,실종,48,342,14.0
구조활동,2020,2,사망,38,342,11.1
구조활동,2020,3,종합,28,342,8.2
구조활동,2020,4,이재민,22,342,6.4
구조활동,2020,5,대비,19,342,5.6
구조활동,2020,6,일자리,18,342,5.3
구조활동,2020,7,정보,18,342,5.3
